room_type,minimum_nights,calculated_host_listings_count,availability_365,price
0.0,0.17857142857142855,0.0,0.9205479452054794,93
0.5,0.2142857142857143,0.003067484662576687,0.8301369863013699,189
0.0,0.8928571428571428,0.006134969325153375,0.2684931506849315,75
0.5,0.39285714285714285,0.0,0.08767123287671233,190
0.5,0.0,0.0,0.0,250
0.0,0.2142857142857143,0.003067484662576687,1.0,95
0.0,0.03571428571428571,0.0,0.0,99
0.0,0.07142857142857142,0.0,0.2054794520547945,105
0.5,0.03571428571428571,0.0,0.32602739726027397,190
0.0,0.03571428571428571,0.006134969325153375,0.9095890410958904,71
0.5,0.14285714285714285,0.0,0.005479452054794521,155
0.0,0.0,0.0,0.0,69
0.0,0.0,0.003067484662576687,0.9616438356164384,45
0.0,0.0,0.0,0.0,60
0.5,0.07142857142857142,0.006134969325153375,0.26575342465753427,400
0.0,0.03571428571428571,0.0,0.0,149
0.5,0.03571428571428571,0.0,0.11232876712328767,250
0.5,0.0,0.006134969325153375,0.0,211
0.5,0.2142857142857143,0.0,0.9808219178082191,325
0.0,0.4642857142857143,0.0,0.9972602739726028,149
0.5,0.07142857142857142,0.0,0.0,130
0.5,0.03571428571428571,0.003067484662576687,0.6164383561643836,69
0.0,0.03571428571428571,0.0,0.4849315068493151,49
0.0,0.03571428571428571,0.009202453987730062,0.24383561643835616,79
0.0,0.10714285714285714,0.0,0.2547945205479452,110
0.5,0.07142857142857142,0.0,0.0,95
0.0,0.0,0.012269938650306749,0.473972602739726,60
0.0,0.0,0.0,0.0,85
0.5,0.10714285714285714,0.0,0.24383561643835616,300
0.0,0.03571428571428571,0.003067484662576687,0.8876712328767123,45
1.0,0.0,0.049079754601226995,0.24383561643835616,27
0.5,0.0,0.0,0.8986301369863013,398
0.5,0.14285714285714285,0.0,0.038356164383561646,250
0.0,0.07142857142857142,0.003067484662576687,0.1780821917808219,138
0.0,0.03571428571428571,0.003067484662576687,0.0,40
0.5,0.10714285714285714,0.0,0.0,139
0.0,0.03571428571428571,0.0,0.33972602739726027,150
0.5,0.0,0.0,0.0,150
0.0,0.2142857142857143,0.0,0.0,77
0.5,0.03571428571428571,0.003067484662576687,0.12328767123287672,135
0.5,0.03571428571428571,0.0,0.0,300
0.0,0.0,0.0,0.3013698630136986,65
0.5,0.10714285714285714,0.0,0.0,150
0.5,0.07142857142857142,0.0,0.0,188
1.0,0.4642857142857143,0.08282208588957056,0.9342465753424658,32
1.0,0.0,0.009202453987730062,0.0,65
0.5,0.03571428571428571,1.0,0.9397260273972603,228
0.5,0.03571428571428571,0.0,0.4821917808219178,250
0.5,0.10714285714285714,0.003067484662576687,0.008219178082191782,127
0.5,0.10714285714285714,0.0,0.0,194
0.5,0.07142857142857142,0.0,0.0136986301369863,198
0.5,0.14285714285714285,0.0,0.0,200
0.0,0.03571428571428571,0.0,0.19452054794520549,130
0.0,0.14285714285714285,0.0,0.0,70
0.5,0.5,0.0,0.005479452054794521,134
0.5,0.14285714285714285,0.0,0.03287671232876713,90
0.5,0.03571428571428571,0.0,0.0,95
0.5,0.07142857142857142,0.0,0.0,185
0.5,0.07142857142857142,0.006134969325153375,0.4301369863013699,275
0.0,0.07142857142857142,0.0,0.0,53
0.5,0.07142857142857142,0.003067484662576687,0.5534246575342466,135
0.5,0.2142857142857143,0.0,0.0,90
0.0,0.2142857142857143,0.003067484662576687,0.8849315068493151,75
0.5,0.9999999999999999,0.018404907975460124,0.0,120
0.5,0.10714285714285714,0.006134969325153375,0.1863013698630137,295
0.0,0.03571428571428571,0.0,0.0,95
0.5,0.07142857142857142,0.0,0.2356164383561644,339
0.5,0.07142857142857142,0.0,0.0027397260273972603,113
0.5,0.10714285714285714,0.003067484662576687,0.5945205479452055,135
0.5,0.0,0.0,1.0,100
0.5,0.07142857142857142,0.0,0.9972602739726028,165
0.5,0.07142857142857142,0.0,0.41643835616438357,225
0.5,0.3214285714285714,0.0,0.0,129
0.5,0.03571428571428571,0.0,0.0,150
0.0,0.0,0.0,0.9917808219178083,219
0.5,0.10714285714285714,0.0,0.0,160
0.0,0.0,0.003067484662576687,0.473972602739726,90
1.0,0.0,0.006134969325153375,0.24383561643835616,31
0.5,0.03571428571428571,0.0,0.852054794520548,179
0.0,0.0,0.0,0.0,65
0.0,0.07142857142857142,0.003067484662576687,0.14246575342465753,42
0.5,0.10714285714285714,0.0,0.0,125
0.5,0.07142857142857142,0.006134969325153375,0.0,195
0.0,0.0,0.0,0.19452054794520549,50
0.0,0.03571428571428571,0.003067484662576687,0.0,85
0.0,0.07142857142857142,0.0,0.5506849315068493,382
0.5,0.10714285714285714,0.0,0.2493150684931507,130
0.0,0.0,0.0,0.4931506849315069,73
0.5,0.07142857142857142,0.0,0.0,200
0.5,0.0,0.027607361963190184,0.9780821917808219,299
0.5,0.03571428571428571,0.0,0.21095890410958903,100
0.0,0.4642857142857143,0.0,0.526027397260274,80
0.5,0.03571428571428571,0.0,0.30684931506849317,279
0.0,0.0,0.015337423312883437,0.9835616438356164,60
0.5,0.07142857142857142,0.0,0.0,199
0.0,0.0,0.003067484662576687,0.4465753424657534,95
0.5,0.0,0.09815950920245399,0.9972602739726028,399
0.5,0.0,0.006134969325153375,0.6657534246575343,150
0.5,0.03571428571428571,0.0,0.18082191780821918,240
0.0,0.2142857142857143,0.0,0.8794520547945206,110
0.0,0.03571428571428571,0.0,0.0,72
0.5,0.10714285714285714,0.0,0.4273972602739726,210
0.5,0.07142857142857142,0.0,0.7452054794520548,175
0.0,0.0,0.0,0.0,50
0.5,0.03571428571428571,0.0,0.0,209
0.0,0.07142857142857142,0.0,0.5178082191780822,70
0.5,0.2142857142857143,0.0,0.27945205479452057,199
0.0,0.0,0.0,0.38082191780821917,45
0.0,0.03571428571428571,0.0,0.19726027397260273,150
0.5,0.07142857142857142,0.003067484662576687,0.13424657534246576,150
0.0,0.03571428571428571,0.0,0.06575342465753425,99
0.5,0.2142857142857143,0.0,0.0,129
0.5,0.14285714285714285,0.0,0.0,330
0.0,0.14285714285714285,0.009202453987730062,0.9972602739726028,270
0.5,0.0,0.003067484662576687,0.0,170
0.0,0.07142857142857142,0.003067484662576687,0.0,130
0.0,0.03571428571428571,0.003067484662576687,0.0410958904109589,33
0.0,0.07142857142857142,0.0,0.06575342465753425,95
0.0,0.14285714285714285,0.0,0.0,37
0.5,0.10714285714285714,0.0,0.36712328767123287,700
0.0,0.0,0.015337423312883437,1.0,149
0.5,0.03571428571428571,0.0,0.0,250
0.0,0.14285714285714285,0.0,0.0,35
0.5,0.0,0.003067484662576687,0.2602739726027397,129
0.0,0.07142857142857142,0.0,0.0,66
0.0,0.03571428571428571,0.006134969325153375,0.0,105
0.5,0.0,0.0,0.6301369863013698,70
0.5,0.8571428571428571,0.0,0.0273972602739726,177
0.5,0.03571428571428571,0.0,0.18082191780821918,305
0.5,0.03571428571428571,0.0,0.8821917808219178,200
0.0,0.03571428571428571,0.0,0.7397260273972602,100
0.5,0.07142857142857142,0.0,0.0,350
0.5,0.14285714285714285,0.0,0.07397260273972603,70
0.0,0.03571428571428571,0.003067484662576687,0.936986301369863,75
0.0,0.3214285714285714,0.0,0.0,28
0.0,0.03571428571428571,0.0,0.0136986301369863,78
0.5,0.0,0.009202453987730062,0.6821917808219178,320
0.0,0.07142857142857142,0.003067484662576687,0.852054794520548,50
0.5,0.10714285714285714,0.0,0.0,145
0.5,0.03571428571428571,0.0,0.0,80
0.0,0.0,0.003067484662576687,0.2493150684931507,121
0.5,0.03571428571428571,0.0,0.0,225
0.0,0.03571428571428571,0.003067484662576687,0.0,58
0.5,0.7142857142857143,0.0,0.3780821917808219,95
0.0,0.2142857142857143,0.0,0.043835616438356165,150
0.0,0.0,0.006134969325153375,0.8931506849315068,109
0.5,0.0,0.09815950920245399,0.9972602739726028,179
0.0,0.7142857142857143,0.02147239263803681,0.9068493150684932,58
0.5,0.03571428571428571,0.0,0.07945205479452055,140
0.0,0.0,0.012269938650306749,0.4794520547945206,45
0.5,0.07142857142857142,0.0,0.0,100
0.5,0.0,0.0,0.0,75
0.0,0.03571428571428571,0.0,0.0,55
0.5,0.03571428571428571,0.0,0.22465753424657534,139
0.0,0.14285714285714285,0.0,0.7890410958904109,130
0.5,0.03571428571428571,0.0,0.06027397260273973,120
0.5,0.07142857142857142,0.0,0.0410958904109589,150
0.0,0.03571428571428571,0.0,0.0,56
0.5,0.03571428571428571,0.0,0.0,224
0.5,0.03571428571428571,0.0,0.0,200
0.0,0.2142857142857143,0.0,0.0,60
0.0,0.14285714285714285,0.018404907975460124,0.3835616438356164,71
0.5,0.07142857142857142,0.0,0.0,175
0.5,0.0,0.027607361963190184,0.4328767123287671,108
0.5,0.03571428571428571,1.0,0.9260273972602739,229
0.0,0.10714285714285714,0.0,0.0,160
0.0,0.03571428571428571,0.003067484662576687,0.0,42
0.5,0.07142857142857142,0.003067484662576687,0.06027397260273973,129
0.0,0.0,0.003067484662576687,0.2684931506849315,70
0.0,0.03571428571428571,0.0,0.0,95
0.5,0.17857142857142855,0.0,0.008219178082191782,179
0.0,0.0,0.0,0.0,70
0.5,0.03571428571428571,0.0,0.7397260273972602,225
0.0,0.0,0.02147239263803681,0.23013698630136986,50
0.0,0.03571428571428571,0.006134969325153375,1.0,68
0.0,0.03571428571428571,0.003067484662576687,0.0,55
0.5,0.0,0.0,0.0,280
0.0,0.0,0.003067484662576687,0.0,75
0.5,0.03571428571428571,0.0,0.0,124
0.5,0.03571428571428571,0.0,0.0027397260273972603,120
0.5,0.0,0.0,0.0,387
0.5,0.2142857142857143,0.0,0.0,200
0.0,0.07142857142857142,0.0,0.0,45
0.5,0.03571428571428571,0.012269938650306749,0.9506849315068493,125
0.5,0.03571428571428571,0.0,0.0,150
0.0,0.0,0.003067484662576687,1.0,45
0.0,0.03571428571428571,0.0,0.44931506849315067,170
0.0,0.03571428571428571,0.0,0.0273972602739726,42
0.5,0.0,0.003067484662576687,0.0,74
0.0,0.0,0.003067484662576687,0.2273972602739726,69
0.0,0.0,0.0,0.0,100
0.0,0.03571428571428571,0.0,0.0,60
0.0,0.03571428571428571,0.0,0.0,70
0.0,0.03571428571428571,0.003067484662576687,0.46301369863013697,60
0.5,0.03571428571428571,0.0,0.23835616438356164,300
0.5,0.03571428571428571,0.0,0.0,120
0.0,0.07142857142857142,0.0,0.0,30
0.0,0.6785714285714285,0.0,0.0,90
0.0,0.07142857142857142,0.0,1.0,95
0.0,0.03571428571428571,0.0,0.9452054794520548,67
0.5,0.03571428571428571,0.0,0.673972602739726,150
0.5,0.10714285714285714,0.0,0.15342465753424658,100
0.0,0.03571428571428571,0.0,0.0,100
0.0,0.0,0.0,0.0,75
0.5,0.2142857142857143,0.0,0.0,120
0.5,0.10714285714285714,0.0,0.4767123287671233,700
0.0,0.0,0.0,0.8301369863013699,89
0.5,0.10714285714285714,0.0,0.2273972602739726,90
0.0,0.7142857142857143,0.0,0.0,54
0.0,0.10714285714285714,0.003067484662576687,0.0,39
0.0,0.0,0.0,0.4328767123287671,110
0.5,0.4642857142857143,0.0,0.0,175
0.0,0.03571428571428571,0.0,0.19726027397260273,70
0.0,0.07142857142857142,0.0,0.030136986301369864,55
0.5,0.07142857142857142,0.0,0.0,250
0.0,0.07142857142857142,0.0,0.936986301369863,35
0.5,0.03571428571428571,0.0,0.0,150
0.5,0.03571428571428571,0.0,0.7342465753424657,255
0.0,0.0,0.0,0.0,80
0.5,0.03571428571428571,0.0,0.043835616438356165,300
0.5,0.14285714285714285,0.0,0.0,275
0.5,0.07142857142857142,0.0,0.8849315068493151,250
0.5,0.03571428571428571,0.006134969325153375,0.8246575342465754,125
0.0,0.07142857142857142,0.0,0.0,60
0.0,0.03571428571428571,0.003067484662576687,0.0,120
1.0,0.0,0.0,0.8712328767123287,75
0.0,0.0,0.0,0.0,60
0.5,0.14285714285714285,0.0,0.0,175
0.5,0.0,0.0,0.5424657534246575,150
0.5,0.03571428571428571,0.003067484662576687,0.6,115
0.5,0.0,0.0,0.9917808219178083,227
0.5,0.0,0.0,1.0,1066
0.0,0.0,0.0,0.0,75
0.5,0.07142857142857142,0.0,0.0,135
0.0,0.07142857142857142,0.003067484662576687,0.0,60
0.5,0.17857142857142855,0.0,0.0,199
0.5,0.0,0.0,0.0,175
0.5,0.14285714285714285,0.0,0.0,113
0.0,0.03571428571428571,0.0,0.2602739726027397,72
0.5,0.0,0.03987730061349693,0.10410958904109589,211
0.0,0.14285714285714285,0.012269938650306749,0.40273972602739727,73
0.5,0.4642857142857143,0.003067484662576687,0.6109589041095891,199
0.0,0.07142857142857142,0.003067484662576687,0.10410958904109589,250
1.0,0.03571428571428571,0.003067484662576687,0.2410958904109589,55
0.0,0.03571428571428571,0.003067484662576687,0.08493150684931507,60
0.0,0.14285714285714285,0.0,0.0,43
0.0,0.10714285714285714,0.006134969325153375,0.0,79
0.5,0.14285714285714285,0.0,0.0,130
0.5,0.03571428571428571,1.0,0.37534246575342467,245
0.0,0.03571428571428571,0.006134969325153375,0.0958904109589041,50
0.0,0.2142857142857143,0.0,0.9945205479452055,50
0.0,0.0,0.006134969325153375,0.2273972602739726,32
0.0,0.0,0.0,0.0,60
0.5,0.07142857142857142,0.0,0.0273972602739726,150
0.0,0.0,0.006134969325153375,0.0136986301369863,80
0.5,0.14285714285714285,0.0,0.9287671232876712,422
0.0,0.03571428571428571,0.0,0.27123287671232876,90
0.5,0.03571428571428571,0.0,0.0,150
0.5,0.0,0.0,0.8301369863013699,1749
0.0,0.0,0.006134969325153375,0.0,42
0.5,0.0,0.0,0.0,60
0.0,0.14285714285714285,0.0,0.0,51
0.5,0.9999999999999999,0.0,0.2602739726027397,88
0.0,0.07142857142857142,0.0,0.0,60
0.0,0.0,0.015337423312883437,0.473972602739726,55
0.5,0.14285714285714285,0.0,0.5671232876712329,549
0.0,0.03571428571428571,0.009202453987730062,0.42191780821917807,44
0.5,0.0,0.02147239263803681,0.8356164383561644,48
0.0,0.07142857142857142,0.003067484662576687,0.989041095890411,30
0.0,0.7142857142857143,0.003067484662576687,0.16712328767123288,53
0.5,0.0,0.0,0.43561643835616437,58
0.5,0.03571428571428571,0.0,0.30684931506849317,328
0.0,0.03571428571428571,0.0,0.23835616438356164,80
0.5,0.2142857142857143,0.0,0.0,100
0.5,0.03571428571428571,0.0,0.0,100
0.0,0.0,0.0,0.0410958904109589,85
0.5,0.2142857142857143,0.0,0.663013698630137,90
0.0,0.0,0.0,0.0,65
0.0,0.0,0.006134969325153375,0.9452054794520548,49
0.5,0.03571428571428571,0.015337423312883437,0.3835616438356164,115
0.0,0.4642857142857143,0.0,0.947945205479452,59
0.0,0.0,0.009202453987730062,0.0,100
0.5,0.0,0.0,0.0136986301369863,66
0.0,0.0,0.0,0.0,52
0.5,0.0,0.0,0.1315068493150685,550
0.0,0.0,0.0,0.052054794520547946,175
0.0,0.07142857142857142,0.0,0.821917808219178,65
0.5,0.0,0.0,0.0,195
0.5,0.0,0.003067484662576687,0.0,165
0.0,0.07142857142857142,0.003067484662576687,0.6876712328767123,82
0.0,0.2142857142857143,0.0,0.0,40
0.0,0.10714285714285714,0.0,0.14794520547945206,52
0.5,0.07142857142857142,0.0,0.0,400
0.0,0.03571428571428571,0.018404907975460124,0.1589041095890411,67
0.5,0.2142857142857143,0.0,0.03287671232876713,210
0.5,0.2142857142857143,0.003067484662576687,0.9698630136986301,300
